Raw material,Impact category,BAU,ONSITE_ELEC,ENERGY_EFF,PROCESS_HEAT,CHEMICALS_DECARB,GLOBAL_ELEC
Nickel,"Eutrophication, marine",0.00485038539510508,0.0027806230895307156,0.0027493737921483047,0.002875423307397739,0.00270517544718553,0.0024390249919965276
Nickel,"Eutrophication, freshwater",0.004933523169478608,0.004030744514703544,0.004023909968253704,0.004296961070458237,0.004242652950411376,0.0041309191409989645
Nickel,"Energy resources, non-renewable",56.986354759118925,28.952776523716302,28.21752487263438,20.671579717453376,18.181443919044696,14.695671049076303
Nickel,"Ecotoxicity, freshwater",2432.013416091101,2428.377011238962,2428.216523183507,2436.0560790137474,2436.2488472951627,2435.9278701915805
Nickel,Acidification,0.4777036881445671,0.46784203940951163,0.4675817644510977,0.468691064795733,0.46789233455227225,0.46665837334732907
Nickel,Climate change,5.47906485240924,3.3022118292616778,3.2462857715867104,2.709290716007136,2.4992459029096317,2.231800685718801
Nickel,Water use,1.0334351615392952,0.586634298596781,0.5831502441368446,0.7080578023198182,0.6860077172286208,0.44547781786738594
Nickel,Photochemical oxidant formation,0.04374161180922204,0.03762870486597925,0.03747116002901017,0.03698559758525374,0.03645468842537579,0.035679313306924566
"Graphite, natural",Particulate matter formation,8.596988988738958e-07,2.8256997061351133e-07,2.733140041642906e-07,2.3092444034823845e-07,2.1507664201542684e-07,2.0013086162851648e-07
"Graphite, natural",Ozone depletion,7.497595089707939e-08,6.29540036257032e-08,6.232367550947594e-08,6.322079510190806e-08,6.15783193839785e-08,5.938903939944577e-08
"Graphite, natural","Material resources, minerals/metals",4.9599481533425016e-05,7.679134259501974e-05,7.485128134457296e-05,9.233900888620106e-05,0.00010265206520019761,0.0001044603490305162
"Graphite, natural",Land use,40.102754034880384,29.75723358757872,29.24715616661403,31.265373851908038,31.697932642203064,31.254706928761188
"Graphite, natural",Ionising radiation,0.41274713385023276,0.0713856573203323,0.06970361021686144,0.07826186210313076,0.05659805987400941,0.007252016976503719
"Graphite, natural","Human toxicity, non-carcinogenic",8.689707254642572e-08,6.407881746292471e-08,6.247613967160275e-08,7.083129039364025e-08,7.488371053296179e-08,7.397388685309829e-08
"Graphite, natural",Water use,36.36139431696439,35.54993894876647,35.53832481473219,35.59123308964388,35.57164382508479,35.445057122856014
"Graphite, natural",Photochemical oxidant formation,0.04029284261540422,0.015570289411105734,0.015187887352373553,0.014539662304031972,0.01379896695801629,0.012730559655629914
"Graphite, natural","Eutrophication, marine",0.01422715423313963,0.005381419701695011,0.005267875516053529,0.005052273165009086,0.004828151523241341,0.004465237768775897
"Graphite, natural","Eutrophication, freshwater",0.0023049129487538837,0.0010588826694535123,0.0010341677367357496,0.001020182729601581,0.0009699872959077353,0.0008231083110951602
